JumlahPendapatan,Income_Per_Capita,Income_Diversity,Dual_Income_Household,Has_Other_Income,Has_Working_Children,Umur,Total_Household_Members,Dependency_Ratio,Year_Index,Poverty_Escape_Status_Based,Poverty_Escape_Income_Based,Poverty_Escape_Combined,Jantina_L,Jantina_P,Jantina_nan,DAERAH_BB,DAERAH_BL,DAERAH_KL,DAERAH_KM,DAERAH_KP,DAERAH_KS,DAERAH_LW,DAERAH_PD,DAERAH_PS,DAERAH_PT,DAERAH_SK,DAERAH_YN,DAERAH_nan,Age_Category_Young,Age_Category_Middle_Age,Age_Category_Mature,Age_Category_Senior,Age_Category_nan,Income_Category_Extreme_Poor,Income_Category_Poor,Income_Category_Low_Income,Income_Category_Above_Threshold,Income_Category_nan,JumlahPendapatan_scaled,Income_Per_Capita_scaled,Umur_scaled,Total_Household_Members_scaled,Dependency_Ratio_scaled
300.0,300.0,0,0,0,0,60,1,0.0,2,1,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,-0.954364557277746,0.07328572670852647,0.18251224839962665,-1.0326576622416834,-0.9713416670164832
500.0,500.0,0,0,0,0,66,1,0.0,2,1,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,-0.5273132680679388,1.1473781878986666,0.5931389439827797,-1.0326576622416834,-0.9713416670164832
600.0,120.0,0,0,0,0,68,5,4.0,2,1,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-0.3137876234630351,-0.8933974883625997,0.7300145091771639,1.0740573834869813,1.260380800841096
1000.0,166.66666666666666,0,0,0,0,31,6,5.0,2,1,0,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0.5403149549565794,-0.6427759140849004,-1.802183446918946,1.6007361449191475,1.8183114178054907
700.0,116.66666666666667,1,0,1,0,42,6,5.0,2,1,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,-0.1002619788581315,-0.9112990293824352,-1.0493678383498322,1.6007361449191475,1.8183114178054907
200.0,100.0,0,0,0,0,57,2,1.0,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,-1.1678902018826496,-1.0008067344816138,-0.022801099391949842,-0.5059789008095172,-0.41341105005208845
700.0,233.33333333333334,0,0,0,0,51,3,2.0,2,1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,-0.1002619788581315,-0.2847450936881869,-0.4334277949751028,0.020699860622648922,0.1445195669123063
1450.0,362.5,0,0,0,0,35,4,3.0,2,1,1,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1.5011803556786458,0.40893962083044527,-1.5284323165301774,0.5473786220548151,0.702450183876701
1200.0,240.0,0,0,0,0,32,5,4.0,2,1,1,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.9673662441663867,-0.2489420116485156,-1.733745664321754,1.0740573834869813,1.260380800841096
100.0,100.0,0,0,0,0,62,1,0.0,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,-1.3814158464875532,-1.0008067344816138,0.31938781359401097,-1.0326576622416834,-0.9713416670164832
100.0,100.0,0,0,0,0,72,1,0.0,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,-1.3814158464875532,-1.0008067344816138,1.0037656395659327,-1.0326576622416834,-0.9713416670164832
320.0,320.0,0,0,0,0,73,1,0.0,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,-0.9116594283567653,0.1806949728275405,1.0722034221631247,-1.0326576622416834,-0.9713416670164832
200.0,100.0,1,0,1,0,80,2,1.0,2,1,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,-1.1678902018826496,-1.0008067344816138,1.55126790034347,-0.5059789008095172,-0.41341105005208845
300.0,300.0,0,0,0,0,88,1,0.0,2,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,-0.954364557277746,0.07328572670852647,2.0987701611210072,-1.0326576622416834,-0.9713416670164832
1300.0,433.3333333333333,0,0,0,0,54,3,2.0,2,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,1.1808918887712903,0.7893473675019531,-0.22811444718352633,0.020699860622648922,0.1445195669123063
200.0,200.0,0,0,0,0,73,1,0.0,2,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,-1.1678902018826496,-0.4637605038865436,1.0722034221631247,-1.0326576622416834,-0.9713416670164832
